score,max_tile,board_state
1364,128,[1 2 4 1 5 4 7 2 2 6 4 1 1 3 1 4]
1444,128,[1 4 2 1 4 7 3 4 2 4 5 3 1 6 4 1]
928,64,[1 5 1 2 3 4 6 1 5 3 1 2 6 1 2 1]
860,64,[1 2 1 4 6 5 2 1 1 2 6 4 3 1 3 2]
1412,128,[1 4 2 1 2 7 5 2 4 6 2 3 2 5 1 2]
1272,128,[2 5 1 2 1 2 7 5 4 5 4 2 1 4 2 1]
424,32,[1 2 1 2 2 5 3 4 4 1 4 5 1 3 2 1]
760,64,[2 4 2 3 1 6 3 5 4 3 5 3 1 2 4 2]
764,64,[1 3 2 1 3 6 1 2 1 3 4 1 4 2 6 2]
1140,128,[1 3 4 1 2 4 5 3 1 7 3 2 2 1 5 1]
1072,128,[1 2 4 1 2 4 1 7 4 5 4 3 1 2 3 1]
564,64,[2 1 6 1 3 2 1 4 2 5 4 2 3 1 2 1]
636,64,[2 5 2 1 1 3 4 3 4 2 6 1 2 3 1 4]
1204,128,[2 4 2 1 4 5 4 3 2 7 1 5 1 2 4 1]
1324,128,[2 1 3 1 4 2 4 2 2 7 5 3 1 3 6 2]
576,64,[2 5 2 1 3 2 4 3 6 1 3 1 1 3 4 2]
1140,128,[1 4 3 1 2 3 5 3 3 5 4 2 2 7 2 1]
1632,128,[2 7 3 2 5 2 4 3 6 4 6 2 1 3 2 1]
236,32,[2 1 2 1 3 2 5 3 2 1 4 2 1 3 2 1]
1912,128,[2 1 3 2 7 3 6 1 3 7 4 2 1 2 3 1]
1072,128,[1 3 2 1 3 5 3 4 4 7 2 1 2 3 1 4]
1088,128,[1 3 2 1 2 4 7 4 4 2 5 1 1 4 1 2]
616,64,[1 3 4 1 2 4 6 3 3 5 4 2 1 2 3 1]
1472,128,[1 2 6 1 2 3 2 4 3 7 3 1 2 1 6 2]
1008,128,[3 1 2 1 1 7 3 2 2 5 2 4 1 4 1 3]
1016,128,[1 2 5 2 2 4 7 1 3 1 2 3 1 3 4 1]
2148,256,[2 1 4 2 1 3 8 1 2 5 4 3 1 2 5 1]
1180,128,[2 3 1 2 1 6 2 1 3 4 7 2 2 1 3 1]
1056,128,[1 7 3 2 2 3 4 1 4 2 5 4 3 1 3 1]
1360,128,[1 3 4 2 2 4 7 4 3 6 3 1 1 2 5 2]
2088,256,[1 2 1 2 5 1 3 5 4 2 8 3 2 3 1 2]
1388,128,[1 2 3 1 2 5 6 2 1 7 4 3 5 1 2 1]
1232,128,[1 2 3 1 4 1 7 2 2 6 1 4 1 4 3 2]
1072,128,[2 1 2 1 4 7 5 4 1 2 4 2 2 4 2 1]
608,64,[2 1 2 1 3 5 1 3 5 6 3 1 1 2 1 2]
632,64,[2 1 3 2 1 3 2 1 5 4 5 2 1 6 3 1]
700,64,[2 3 1 2 4 5 2 1 2 6 5 3 1 2 4 2]
1292,128,[1 4 1 2 4 3 4 7 1 6 3 1 4 3 1 2]
1404,128,[1 3 5 1 2 5 7 3 3 6 4 2 1 2 3 1]
404,32,[1 2 3 1 3 5 4 3 2 3 5 2 1 2 4 1]
1160,64,[1 2 1 3 6 4 6 2 2 6 1 4 1 3 5 2]
908,64,[5 1 6 2 1 3 4 3 2 4 6 2 1 2 4 1]
1352,128,[1 4 3 1 4 6 7 2 3 2 4 5 2 1 3 2]
1024,128,[1 2 3 1 4 5 4 2 2 7 2 1 4 2 1 2]
684,64,[1 3 5 3 4 2 3 4 6 5 1 2 2 1 2 1]
1036,128,[1 3 1 4 3 7 2 3 1 3 5 2 3 4 2 1]
1580,128,[3 1 2 4 1 6 3 1 2 3 5 6 1 2 7 1]
524,32,[2 1 4 2 1 5 3 5 3 4 5 3 1 2 3 1]
1348,128,[2 3 2 1 4 1 4 3 2 5 7 1 1 3 6 3]
1276,128,[1 6 1 2 2 3 2 3 3 5 7 2 2 4 2 1]
1016,64,[1 6 2 1 5 3 4 3 2 5 3 6 1 4 2 1]
1300,128,[1 3 2 1 5 4 3 4 1 3 6 2 2 1 7 1]
912,64,[1 2 4 1 6 4 6 2 2 5 3 1 3 1 4 2]
1388,128,[2 1 2 1 1 6 7 5 2 5 3 2 1 3 4 1]
816,64,[1 3 5 3 5 4 3 4 2 1 6 2 1 2 5 1]
696,64,[2 5 2 1 4 1 6 2 2 3 5 4 1 2 3 2]
392,32,[1 4 1 2 4 3 5 4 2 4 3 1 1 2 4 2]
2504,256,[1 2 6 2 2 8 3 1 4 6 4 2 1 2 3 1]
624,64,[2 4 2 1 3 5 4 3 2 4 6 2 1 3 2 1]
2084,256,[2 1 3 2 1 3 5 3 2 5 8 1 1 2 4 2]
748,64,[4 3 2 1 2 5 4 3 3 4 6 2 1 3 5 1]
880,64,[1 2 6 1 6 4 5 3 2 3 2 1 1 2 4 2]
680,64,[1 2 4 1 4 3 2 5 2 1 5 3 1 2 6 1]
1296,128,[1 4 3 2 3 6 7 3 1 5 3 2 3 1 2 1]
1120,128,[2 1 3 1 1 2 5 2 4 5 7 3 1 3 2 1]
1216,128,[2 3 1 3 3 7 2 1 2 4 1 4 1 6 2 1]
1404,128,[4 1 4 1 3 7 5 3 2 3 6 4 1 2 4 2]
1480,128,[2 3 5 1 3 5 7 2 4 6 4 3 1 4 2 1]
1728,128,[2 5 3 1 1 3 7 3 2 4 6 5 1 2 3 6]
344,32,[1 3 4 1 3 1 5 2 5 3 2 3 1 2 1 2]
648,64,[1 2 3 1 4 6 5 3 3 4 3 4 2 3 2 1]
1064,128,[5 3 2 1 1 2 3 4 2 1 4 7 1 4 1 3]
1024,128,[1 2 5 2 3 4 2 4 1 3 7 1 3 2 1 3]
1120,128,[1 5 7 2 4 2 3 1 3 5 4 2 1 3 2 1]
1292,128,[3 4 1 2 1 7 4 1 2 5 6 2 1 2 3 1]
1048,128,[1 2 3 2 2 4 7 4 5 2 3 2 2 3 2 1]
828,64,[1 2 5 2 4 5 4 1 3 6 5 3 1 3 2 1]
1020,128,[1 2 3 2 4 3 5 3 3 7 2 1 2 4 1 2]
460,64,[1 4 1 2 3 6 3 1 1 2 4 2 2 3 2 1]
2136,256,[1 4 3 1 2 3 8 2 4 2 5 3 2 5 2 1]
1452,128,[3 1 3 1 1 5 6 2 4 7 2 4 2 5 1 3]
1364,128,[2 6 4 2 3 4 5 1 2 3 7 2 1 4 2 1]
2316,256,[1 3 1 2 2 1 5 4 3 6 4 3 2 1 8 2]
1312,128,[2 1 4 2 4 5 2 1 2 4 7 3 1 6 2 1]
1328,128,[1 4 2 1 3 7 6 3 1 5 3 2 3 4 2 1]
728,64,[2 1 2 1 1 4 5 2 2 6 4 3 1 4 5 2]
1304,128,[1 2 3 2 2 3 7 6 3 5 2 3 1 3 4 2]
1424,128,[2 1 2 1 3 6 5 2 5 7 3 4 3 4 2 1]
1292,128,[1 3 2 1 4 7 1 2 1 2 5 1 4 1 6 2]
760,64,[1 2 3 2 2 4 5 3 3 5 6 1 2 1 5 2]
264,32,[1 3 1 2 4 2 5 1 2 1 4 3 1 3 2 1]
2100,256,[1 2 3 2 2 3 5 3 3 1 8 5 2 3 2 1]
636,64,[1 3 2 1 2 6 3 4 1 4 5 2 2 3 4 1]
1000,128,[1 3 2 3 4 7 4 1 3 4 3 2 1 3 4 1]
1464,128,[1 4 2 1 3 6 5 4 2 5 7 2 1 4 2 1]
580,64,[1 5 3 1 2 6 1 3 4 2 3 2 1 4 2 1]
560,64,[2 1 2 1 3 5 6 3 2 3 4 2 1 2 3 1]
2768,256,[2 4 1 2 3 2 7 4 2 5 8 3 1 2 3 1]
1044,128,[2 5 1 2 1 3 4 1 2 1 7 5 1 3 2 1]
712,64,[2 4 2 1 4 6 1 2 1 5 2 5 3 2 3 1]
2052,256,[2 3 2 1 4 2 5 4 2 8 3 2 3 4 2 1]
572,64,[1 3 2 1 4 6 4 2 3 5 2 3 2 1 3 2]
1540,128,[1 3 2 1 2 7 4 2 4 6 3 6 2 3 2 1]
1108,128,[2 3 1 2 4 2 5 4 1 7 3 2 4 2 4 1]
1616,128,[2 6 3 1 3 5 6 4 2 7 4 2 1 3 2 1]
1024,128,[1 3 1 2 2 4 3 4 3 2 7 2 1 5 2 1]
640,64,[3 2 3 6 4 5 4 1 2 3 2 4 1 2 3 2]
1312,128,[1 3 2 1 4 7 3 2 2 6 5 1 1 2 4 2]
2968,256,[2 1 4 1 3 6 7 4 1 3 4 2 2 8 2 1]
652,64,[2 1 3 2 1 4 6 5 3 1 5 2 1 3 2 1]
272,32,[2 3 2 1 3 2 4 3 2 5 3 2 1 3 2 1]
1640,128,[2 5 3 1 1 7 1 2 2 6 4 6 1 4 3 1]
344,32,[5 1 3 2 1 2 4 1 2 5 1 3 1 2 3 1]
540,64,[2 1 2 1 4 2 1 3 3 6 3 1 1 5 1 3]
708,64,[1 2 4 1 2 6 2 4 3 5 3 5 1 3 1 2]
852,64,[2 6 2 1 3 5 4 2 1 2 1 3 3 1 6 2]
2904,256,[1 4 5 2 3 8 3 1 2 5 7 2 1 3 4 1]
1116,128,[5 2 1 3 2 4 3 1 1 5 7 3 2 1 4 2]
1460,128,[2 1 3 2 7 4 5 4 3 6 2 3 1 5 3 2]
892,64,[1 5 3 1 2 4 6 2 1 6 2 4 3 2 3 1]
636,64,[2 4 3 1 3 5 6 3 4 2 4 2 2 1 2 1]
1124,128,[1 2 4 2 2 4 7 4 4 5 2 1 3 4 1 2]
